sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,0,8,4,0.0107,quadratic,quadratic,20000,120000,0.7656,0.7640,0.8198,0.0619,0.9116,0.1160,0.4400
ddim,0,8,4,0.0107,quadratic_cal,quadratic,20000,120000,0.7178,0.7154,0.7928,0.0469,0.9337,0.0894,0.4024
ddim,0,8,4,0.0107,polar8,polar,20000,120000,0.7554,0.7534,0.8314,0.0489,0.9349,0.0930,0.4232
ddim,0,8,4,0.0107,polar8_cal,polar,20000,120000,0.7470,0.7449,0.8272,0.0466,0.9407,0.0888,0.4169
ddim,0,8,4,0.0107,knn,knn,50000,300000,0.7698,0.7697,0.8002,0.0777,0.7791,0.1413,0.4555
ddim,0,8,4,0.0107,altered_knn,altered_knn,50000,200000,0.5149,0.5125,0.6670,0.0165,0.7384,0.0322,0.2723
ddim,0,8,4,0.0107,quadratic,quadratic,50000,300000,0.7747,0.7732,0.8287,0.0631,0.9140,0.1180,0.4456
ddim,0,8,4,0.0107,quadratic_cal,quadratic,50000,300000,0.7224,0.7201,0.7991,0.0466,0.9360,0.0887,0.4044
ddim,0,8,4,0.0107,polar8,polar,50000,300000,0.7549,0.7529,0.8312,0.0488,0.9349,0.0928,0.4229
ddim,0,8,4,0.0107,polar8_cal,polar,50000,300000,0.7476,0.7455,0.8272,0.0467,0.9372,0.0889,0.4172
ddim,0,8,4,0.0107,knn,knn,100000,600000,0.7712,0.7708,0.8047,0.0762,0.8093,0.1393,0.4550
ddim,0,8,4,0.0107,altered_knn,altered_knn,100000,400000,0.6188,0.6190,0.7500,0.0177,0.6023,0.0345,0.3267
ddim,0,8,4,0.0107,quadratic,quadratic,100000,600000,0.7726,0.7710,0.8342,0.0573,0.9198,0.1078,0.4394
ddim,0,8,4,0.0107,quadratic_cal,quadratic,100000,600000,0.7345,0.7323,0.8124,0.0466,0.9372,0.0888,0.4105
ddim,0,8,4,0.0107,polar8,polar,100000,600000,0.7537,0.7518,0.8307,0.0484,0.9337,0.0921,0.4219
ddim,0,8,4,0.0107,polar8_cal,polar,100000,600000,0.7472,0.7452,0.8270,0.0466,0.9360,0.0888,0.4170
ddim,0,8,8,0.0125,knn,knn,20000,240000,0.6978,0.6991,0.7237,0.0856,0.5914,0.1496,0.4244
ddim,0,8,8,0.0125,altered_knn,altered_knn,20000,160000,0.7127,0.7170,0.7791,0.0271,0.3761,0.0506,0.3838
ddim,0,8,8,0.0125,quadratic,quadratic,20000,240000,0.8035,0.8036,0.8291,0.1260,0.7967,0.2176,0.5106
ddim,0,8,8,0.0125,quadratic_cal,quadratic,20000,240000,0.7880,0.7876,0.8214,0.1040,0.8247,0.1848,0.4862
ddim,0,8,8,0.0125,polar8,polar,20000,240000,0.8237,0.8236,0.8570,0.1103,0.8348,0.1949,0.5092
ddim,0,8,8,0.0125,polar8_cal,polar,20000,240000,0.8213,0.8211,0.8563,0.1061,0.8363,0.1882,0.5047
ddim,0,8,8,0.0125,knn,knn,50000,600000,0.7181,0.7191,0.7442,0.0931,0.6380,0.1624,0.4408
ddim,0,8,8,0.0125,altered_knn,altered_knn,50000,400000,0.6853,0.6881,0.7730,0.0249,0.4597,0.0473,0.3677
ddim,0,8,8,0.0125,quadratic,quadratic,50000,600000,0.8167,0.8170,0.8440,0.1233,0.7997,0.2137,0.5153
ddim,0,8,8,0.0125,quadratic_cal,quadratic,50000,600000,0.8037,0.8034,0.8376,0.1050,0.8217,0.1862,0.4948
ddim,0,8,8,0.0125,polar8,polar,50000,600000,0.8243,0.8242,0.8575,0.1101,0.8297,0.1944,0.5093
ddim,0,8,8,0.0125,polar8_cal,polar,50000,600000,0.8207,0.8205,0.8564,0.1040,0.8327,0.1848,0.5027
ddim,0,8,8,0.0125,knn,knn,100000,1200000,0.7314,0.7322,0.7572,0.0998,0.6695,0.1737,0.4530
ddim,0,8,8,0.0125,altered_knn,altered_knn,100000,800000,0.6412,0.6420,0.7566,0.0236,0.5839,0.0453,0.3436
ddim,0,8,8,0.0125,quadratic,quadratic,100000,1200000,0.8048,0.8046,0.8400,0.1016,0.8167,0.1808,0.4927
ddim,0,8,8,0.0125,quadratic_cal,quadratic,100000,1200000,0.8039,0.8037,0.8395,0.1006,0.8172,0.1792,0.4915
