sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,4,32,0.0319,altered_knn,altered_knn,10000,320000,0.8297,0.8495,0.8570,0.1491,0.2288,0.1806,0.5150
flow,4,32,0.0319,polar3,polar,10000,480000,0.8906,0.9101,0.9110,0.2827,0.2978,0.2901,0.6001
flow,4,32,0.0319,knn,knn,20000,960000,0.8340,0.8509,0.8537,0.2674,0.3197,0.2912,0.5711
flow,4,32,0.0319,altered_knn,altered_knn,20000,640000,0.8516,0.8782,0.8656,0.3580,0.0455,0.0807,0.4794
flow,4,32,0.0319,polar3,polar,20000,960000,0.8919,0.9118,0.9116,0.2930,0.2884,0.2907,0.6013
flow,4,32,0.0319,knn,knn,50000,2400000,0.8531,0.8727,0.8728,0.2586,0.2602,0.2594,0.5660
flow,4,32,0.0319,altered_knn,altered_knn,50000,1600000,0.8556,0.8791,0.8744,0.2069,0.1411,0.1678,0.5234
flow,4,32,0.0319,polar3,polar,50000,2400000,0.8925,0.9128,0.9117,0.3012,0.2790,0.2897,0.6012
flow,4,32,0.0319,knn,knn,100000,4800000,0.8670,0.8872,0.8862,0.2780,0.2571,0.2671,0.5771
flow,4,32,0.0319,altered_knn,altered_knn,100000,3200000,0.8649,0.8907,0.8823,0.1891,0.0815,0.1139,0.5023
flow,4,32,0.0319,polar3,polar,100000,4800000,0.8917,0.9121,0.9110,0.2949,0.2727,0.2834,0.5978
flow,8,2,0.0205,knn,knn,2000,6000,0.8160,0.8327,0.8239,0.4211,0.0195,0.0373,0.4350
flow,8,2,0.0205,altered_knn,altered_knn,2000,4000,0.8588,0.8707,0.9052,0.0624,0.2902,0.1028,0.4867
flow,8,2,0.0205,polar3,polar,2000,6000,0.9647,0.9772,0.9719,0.7677,0.3707,0.5000,0.7386
flow,8,2,0.0205,knn,knn,5000,15000,0.8287,0.8455,0.8368,0.6667,0.0293,0.0561,0.4508
flow,8,2,0.0205,altered_knn,altered_knn,5000,10000,0.8954,0.9125,0.9197,0.0472,0.0829,0.0602,0.4863
flow,8,2,0.0205,polar3,polar,5000,15000,0.9656,0.9778,0.9725,0.7879,0.3805,0.5132,0.7455
flow,8,2,0.0205,knn,knn,10000,30000,0.8424,0.8591,0.8503,0.8182,0.0439,0.0833,0.4712
flow,8,2,0.0205,altered_knn,altered_knn,10000,20000,0.8644,0.8763,0.9129,0.0617,0.2976,0.1022,0.4893
flow,8,2,0.0205,polar3,polar,10000,30000,0.9656,0.9780,0.9726,0.8021,0.3756,0.5116,0.7448
flow,8,2,0.0205,knn,knn,20000,60000,0.8515,0.8683,0.8596,0.8750,0.0512,0.0968,0.4825
flow,8,2,0.0205,altered_knn,altered_knn,20000,40000,0.8924,0.9076,0.9248,0.0598,0.1659,0.0879,0.4978
flow,8,2,0.0205,polar3,polar,20000,60000,0.9656,0.9779,0.9725,0.8073,0.3780,0.5150,0.7464
flow,8,2,0.0205,knn,knn,50000,150000,0.8636,0.8803,0.8718,0.8667,0.0634,0.1182,0.4993
flow,8,2,0.0205,altered_knn,altered_knn,50000,100000,0.9031,0.9178,0.9328,0.0807,0.2049,0.1158,0.5168
flow,8,2,0.0205,polar3,polar,50000,150000,0.9657,0.9781,0.9726,0.8031,0.3780,0.5141,0.7461
flow,8,2,0.0205,knn,knn,100000,300000,0.8720,0.8890,0.8802,0.8621,0.0610,0.1139,0.5014
flow,8,2,0.0205,altered_knn,altered_knn,100000,200000,0.9073,0.9229,0.9352,0.0716,0.1610,0.0991,0.5110
flow,8,2,0.0205,polar3,polar,100000,300000,0.9659,0.9781,0.9727,0.8051,0.3829,0.5190,0.7486
flow,8,4,0.0186,knn,knn,2000,12000,0.6804,0.6910,0.6884,0.3651,0.1233,0.1844,0.4377
flow,8,4,0.0186,altered_knn,altered_knn,2000,8000,0.8363,0.8511,0.8537,0.0487,0.0617,0.0544,0.4528
flow,8,4,0.0186,polar3,polar,2000,12000,0.9408,0.9507,0.9477,0.6488,0.4209,0.5106,0.7307
flow,8,4,0.0186,knn,knn,5000,30000,0.6993,0.7106,0.7073,0.3942,0.1099,0.1719,0.4412
flow,8,4,0.0186,altered_knn,altered_knn,5000,20000,0.8492,0.8645,0.8632,0.0580,0.0456,0.0511,0.4578
flow,8,4,0.0186,polar3,polar,5000,30000,0.9465,0.9571,0.9533,0.6887,0.3914,0.4991,0.7281
flow,8,4,0.0186,knn,knn,10000,60000,0.7215,0.7332,0.7295,0.4062,0.1046,0.1663,0.4498
flow,8,4,0.0186,altered_knn,altered_knn,10000,40000,0.8360,0.8496,0.8655,0.0410,0.1180,0.0609,0.4553
flow,8,4,0.0186,polar3,polar,10000,60000,0.9473,0.9576,0.9538,0.7123,0.4048,0.5162,0.7369
flow,8,4,0.0186,knn,knn,20000,120000,0.7375,0.7497,0.7458,0.3889,0.0938,0.1512,0.4505
flow,8,4,0.0186,altered_knn,altered_knn,20000,80000,0.8043,0.8141,0.8633,0.0421,0.2922,0.0735,0.4438
flow,8,4,0.0186,polar3,polar,20000,120000,0.9474,0.9578,0.9541,0.6927,0.4048,0.5110,0.7344
flow,8,4,0.0186,knn,knn,50000,300000,0.7558,0.7678,0.7638,0.4608,0.1260,0.1979,0.4828
flow,8,4,0.0186,altered_knn,altered_knn,50000,200000,0.8735,0.8898,0.8858,0.0380,0.0188,0.0251,0.4575
flow,8,4,0.0186,polar3,polar,50000,300000,0.9482,0.9585,0.9548,0.6972,0.4075,0.5144,0.7365
flow,8,4,0.0186,knn,knn,100000,600000,0.7691,0.7812,0.7776,0.4623,0.1314,0.2046,0.4929
flow,8,4,0.0186,altered_knn,altered_knn,100000,400000,0.8794,0.8957,0.8921,0.0495,0.0268,0.0348,0.4652
flow,8,4,0.0186,polar3,polar,100000,600000,0.9482,0.9585,0.9548,0.6941,0.4075,0.5135,0.7360
flow,8,8,0.0261,knn,knn,2000,24000,0.5911,0.6036,0.6045,0.1298,0.1284,0.1291,0.3663
flow,8,8,0.0261,altered_knn,altered_knn,2000,16000,0.7878,0.8072,0.8053,0.0773,0.0632,0.0695,0.4384
flow,8,8,0.0261,polar3,polar,2000,24000,0.9172,0.9342,0.9286,0.5103,0.2854,0.3661,0.6501
flow,8,8,0.0261,knn,knn,5000,60000,0.6142,0.6266,0.6259,0.1729,0.1513,0.1614,0.3940
flow,8,8,0.0261,altered_knn,altered_knn,5000,40000,0.7851,0.8012,0.8158,0.0798,0.1858,0.1117,0.4564
flow,8,8,0.0261,polar3,polar,5000,60000,0.9207,0.9380,0.9314,0.5783,0.2759,0.3735,0.6558
flow,8,8,0.0261,knn,knn,10000,120000,0.6363,0.6494,0.6483,0.1812,0.1475,0.1626,0.4060
flow,8,8,0.0261,altered_knn,altered_knn,10000,80000,0.8007,0.8196,0.8206,0.0872,0.0939,0.0904,0.4550
flow,8,8,0.0261,polar3,polar,10000,120000,0.9202,0.9375,0.9308,0.5813,0.2739,0.3724,0.6550
flow,8,8,0.0261,knn,knn,20000,240000,0.6495,0.6625,0.6611,0.2165,0.1609,0.1846,0.4236
flow,8,8,0.0261,altered_knn,altered_knn,20000,160000,0.8097,0.8278,0.8298,0.1131,0.1322,0.1219,0.4749
flow,8,8,0.0261,polar3,polar,20000,240000,0.9201,0.9376,0.9306,0.5907,0.2682,0.3689,0.6532
flow,8,8,0.0261,knn,knn,50000,600000,0.6897,0.7037,0.7008,0.2661,0.1667,0.2049,0.4543
flow,8,8,0.0261,altered_knn,altered_knn,50000,400000,0.8127,0.8290,0.8426,0.0942,0.2069,0.1294,0.4792
flow,8,8,0.0261,polar3,polar,50000,600000,0.9199,0.9372,0.9303,0.6050,0.2759,0.3789,0.6581
flow,8,8,0.0261,knn,knn,100000,1200000,0.7034,0.7180,0.7144,0.2847,0.1609,0.2056,0.4618
flow,8,8,0.0261,altered_knn,altered_knn,100000,800000,0.8242,0.8418,0.8507,0.0961,0.1705,0.1229,0.4823
flow,8,8,0.0261,polar3,polar,100000,1200000,0.9199,0.9372,0.9302,0.6085,0.2739,0.3778,0.6575
flow,8,16,0.0299,knn,knn,2000,48000,0.5187,0.5289,0.5367,0.0951,0.1886,0.1265,0.3277
flow,8,16,0.0299,altered_knn,altered_knn,2000,32000,0.7217,0.7344,0.7667,0.0830,0.3105,0.1309,0.4327
flow,8,16,0.0299,polar3,polar,2000,48000,0.9011,0.9204,0.9135,0.5390,0.2771,0.3660,0.6432
flow,8,16,0.0299,knn,knn,5000,120000,0.5455,0.5566,0.5630,0.1070,0.1886,0.1366,0.3466
flow,8,16,0.0299,altered_knn,altered_knn,5000,80000,0.7591,0.7801,0.7793,0.0828,0.0801,0.0814,0.4307
flow,8,16,0.0299,polar3,polar,5000,120000,0.9067,0.9261,0.9185,0.5874,0.2805,0.3797,0.6529
flow,8,16,0.0299,knn,knn,10000,240000,0.5803,0.5924,0.5974,0.1236,0.1903,0.1499,0.3711
flow,8,16,0.0299,altered_knn,altered_knn,10000,160000,0.7683,0.7896,0.7900,0.0741,0.0785,0.0762,0.4329
flow,8,16,0.0299,polar3,polar,10000,240000,0.9094,0.9288,0.9211,0.5915,0.2805,0.3805,0.6547
flow,8,16,0.0299,knn,knn,20000,480000,0.6065,0.6185,0.6217,0.1631,0.2187,0.1869,0.4027
flow,8,16,0.0299,altered_knn,altered_knn,20000,320000,0.7695,0.7886,0.8008,0.0761,0.1519,0.1014,0.4450
flow,8,16,0.0299,polar3,polar,20000,480000,0.9099,0.9300,0.9220,0.5636,0.2588,0.3547,0.6423
