process,d,K,T_train,hall_gt,T,n_anchors,roundtrip_acc,model,arch,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
flow,8,4,150,0.0272,550,3000,0.9847,polar3,polar,0.9066,0.9249,0.9169,0.6389,0.2537,0.3632,0.6440
flow,8,4,150,0.0272,550,3000,0.9847,polar8,polar,0.8608,0.8788,0.8712,0.6146,0.2169,0.3207,0.5997
flow,8,4,150,0.0272,550,3000,0.9847,mlp,mlp,0.9141,0.9344,0.9250,0.6667,0.1912,0.2971,0.6158
flow,8,8,150,0.0274,550,6000,0.9878,analytic,analytic,0.9338,0.9530,0.9443,0.7231,0.2568,0.3790,0.6660
flow,8,8,150,0.0274,550,6000,0.9878,knn,knn,0.5403,0.5528,0.5523,0.1205,0.0984,0.1083,0.3305
flow,8,8,150,0.0274,550,6000,0.9878,altered_knn,altered_knn,0.7467,0.7612,0.7856,0.0728,0.2332,0.1109,0.4361
flow,8,8,150,0.0274,550,6000,0.9878,kernel,kernel,0.0274,0.0000,0.0000,0.0274,1.0000,0.0534,0.0267
flow,8,8,150,0.0274,550,6000,0.9878,linear,linear,0.1473,0.1303,0.2241,0.0239,0.7523,0.0463,0.0883
flow,8,8,150,0.0274,550,6000,0.9878,quadratic,quadratic,0.9102,0.9298,0.9202,0.8207,0.2168,0.3429,0.6364
flow,8,8,150,0.0274,550,6000,0.9878,polar2,polar,0.9124,0.9314,0.9235,0.5982,0.2386,0.3411,0.6363
flow,8,8,150,0.0274,550,6000,0.9878,polar3,polar,0.9032,0.9218,0.9144,0.5763,0.2477,0.3465,0.6341
flow,8,8,150,0.0274,550,6000,0.9878,polar8,polar,0.8599,0.8770,0.8731,0.3767,0.2532,0.3028,0.5899
flow,8,8,150,0.0274,550,6000,0.9878,mlp,mlp,0.8955,0.9151,0.9075,0.5023,0.2022,0.2883,0.6017
flow,8,16,150,0.0306,550,12000,0.9769,analytic,analytic,0.8967,0.9186,0.9075,0.6983,0.2042,0.3161,0.6173
flow,8,16,150,0.0306,550,12000,0.9769,knn,knn,0.4663,0.4756,0.4858,0.0669,0.1716,0.0962,0.2859
flow,8,16,150,0.0306,550,12000,0.9769,altered_knn,altered_knn,0.7235,0.7414,0.7473,0.0995,0.1536,0.1207,0.4311
flow,8,16,150,0.0306,550,12000,0.9769,kernel,kernel,0.0306,0.0000,0.0000,0.0306,1.0000,0.0594,0.0297
flow,8,16,150,0.0306,550,12000,0.9769,linear,linear,0.0798,0.0581,0.1097,0.0251,0.7680,0.0487,0.0534
flow,8,16,150,0.0306,550,12000,0.9769,quadratic,quadratic,0.8776,0.8993,0.8889,0.7312,0.1912,0.3031,0.6012
flow,8,16,150,0.0306,550,12000,0.9769,polar2,polar,0.8777,0.8995,0.8905,0.4957,0.1879,0.2725,0.5860
flow,8,16,150,0.0306,550,12000,0.9769,polar3,polar,0.8733,0.8941,0.8856,0.5219,0.2141,0.3036,0.5989
flow,8,16,150,0.0306,550,12000,0.9769,polar8,polar,0.8558,0.8756,0.8699,0.3889,0.2288,0.2881,0.5818
flow,8,16,150,0.0306,550,12000,0.9769,mlp,mlp,0.8557,0.8767,0.8696,0.3779,0.1895,0.2524,0.5646
flow,16,2,150,0.0214,550,1500,0.9953,analytic,analytic,0.9667,0.9808,0.9743,0.8354,0.3208,0.4636,0.7222
flow,16,2,150,0.0214,550,1500,0.9953,knn,knn,0.7454,0.7616,0.7531,0.0000,0.0000,0.0000,0.3808
flow,16,2,150,0.0214,550,1500,0.9953,altered_knn,altered_knn,0.6934,0.6994,0.8060,0.0321,0.4215,0.0597,0.3795
flow,16,2,150,0.0214,550,1500,0.9953,kernel,kernel,0.9084,0.9282,0.9181,0.0000,0.0000,0.0000,0.4641
flow,16,2,150,0.0214,550,1500,0.9953,linear,linear,0.7111,0.7200,0.8290,0.0232,0.3021,0.0430,0.3815
flow,16,2,150,0.0214,550,1500,0.9953,quadratic,quadratic,0.9503,0.9679,0.9594,0.7750,0.1452,0.2446,0.6062
flow,16,2,150,0.0214,550,1500,0.9953,polar2,polar,0.9560,0.9717,0.9643,0.7907,0.2389,0.3669,0.6693
flow,16,2,150,0.0214,550,1500,0.9953,polar3,polar,0.9286,0.9443,0.9367,0.8018,0.2084,0.3309,0.6376
flow,16,2,150,0.0214,550,1500,0.9953,polar8,polar,0.9018,0.9187,0.9104,0.7857,0.1288,0.2213,0.5700
flow,16,2,150,0.0214,550,1500,0.9953,mlp,mlp,0.9535,0.9712,0.9625,0.8714,0.1429,0.2455,0.6084
flow,16,4,150,0.0210,550,3000,0.9907,analytic,analytic,0.9329,0.9464,0.9406,0.7207,0.3064,0.4300,0.6882
flow,16,4,150,0.0210,550,3000,0.9907,knn,knn,0.5835,0.5960,0.5896,0.0417,0.0024,0.0045,0.3003
flow,16,4,150,0.0210,550,3000,0.9907,altered_knn,altered_knn,0.7413,0.7518,0.7983,0.0393,0.2518,0.0680,0.4099
flow,16,4,150,0.0210,550,3000,0.9907,kernel,kernel,0.8415,0.8596,0.8515,0.0000,0.0000,0.0000,0.4298
flow,16,4,150,0.0210,550,3000,0.9907,linear,linear,0.3930,0.3918,0.5553,0.0157,0.4466,0.0304,0.2111
flow,16,4,150,0.0210,550,3000,0.9907,quadratic,quadratic,0.9117,0.9276,0.9200,0.7347,0.1710,0.2775,0.6025
flow,16,4,150,0.0210,550,3000,0.9907,polar2,polar,0.9140,0.9286,0.9251,0.3587,0.2352,0.2841,0.6064
flow,16,4,150,0.0210,550,3000,0.9907,polar3,polar,0.8916,0.9063,0.8993,0.7154,0.2090,0.3235,0.6149
flow,16,4,150,0.0210,550,3000,0.9907,polar8,polar,0.8646,0.8800,0.8728,0.6702,0.1496,0.2447,0.5623
flow,16,4,150,0.0210,550,3000,0.9907,mlp,mlp,0.9156,0.9314,0.9235,0.8172,0.1805,0.2957,0.6136
flow,16,8,150,0.0307,550,6000,0.9910,analytic,analytic,0.8918,0.9114,0.9008,0.8802,0.2748,0.4188,0.6651
flow,16,8,150,0.0307,550,6000,0.9910,knn,knn,0.4500,0.4636,0.4568,0.1000,0.0228,0.0371,0.2503
flow,16,8,150,0.0307,550,6000,0.9910,altered_knn,altered_knn,0.6928,0.7050,0.7445,0.0712,0.3073,0.1156,0.4103
flow,16,8,150,0.0307,550,6000,0.9910,kernel,kernel,0.0307,0.0000,0.0000,0.0307,1.0000,0.0597,0.0298
flow,16,8,150,0.0307,550,6000,0.9910,linear,linear,0.2141,0.2008,0.3318,0.0246,0.6325,0.0473,0.1241
flow,16,8,150,0.0307,550,6000,0.9910,quadratic,quadratic,0.8733,0.8964,0.8837,0.8571,0.1463,0.2500,0.5732
flow,16,8,150,0.0307,550,6000,0.9910,polar2,polar,0.8663,0.8871,0.8796,0.4088,0.2114,0.2787,0.5829
flow,16,8,150,0.0307,550,6000,0.9910,polar3,polar,0.8497,0.8700,0.8591,0.8497,0.2114,0.3385,0.6043
flow,16,8,150,0.0307,550,6000,0.9910,polar8,polar,0.8023,0.8221,0.8119,0.7622,0.1772,0.2876,0.5549
flow,16,8,150,0.0307,550,6000,0.9910,mlp,mlp,0.8513,0.8741,0.8618,0.8283,0.1333,0.2297,0.5519
flow,16,16,150,0.0179,550,12000,0.9885,analytic,analytic,0.9086,0.9182,0.9140,0.7196,0.3799,0.4973,0.7077
flow,16,16,150,0.0179,550,12000,0.9885,knn,knn,0.3668,0.3725,0.3701,0.0503,0.0559,0.0529,0.2127
flow,16,16,150,0.0179,550,12000,0.9885,altered_knn,altered_knn,0.6988,0.7084,0.7203,0.0610,0.1732,0.0902,0.3993
flow,16,16,150,0.0179,550,12000,0.9885,kernel,kernel,0.0179,0.0000,0.0000,0.0179,1.0000,0.0352,0.0176
flow,16,16,150,0.0179,550,12000,0.9885,linear,linear,0.1175,0.1055,0.1911,0.0156,0.7737,0.0305,0.0680
flow,16,16,150,0.0179,550,12000,0.9885,quadratic,quadratic,0.8734,0.8844,0.8791,0.7206,0.2737,0.3968,0.6406
flow,16,16,150,0.0179,550,12000,0.9885,polar2,polar,0.8592,0.8689,0.8685,0.3371,0.3324,0.3347,0.6018
flow,16,16,150,0.0179,550,12000,0.9885,polar3,polar,0.8562,0.8656,0.8613,0.7321,0.3436,0.4677,0.6666
flow,16,16,150,0.0179,550,12000,0.9885,polar8,polar,0.7850,0.7937,0.7904,0.5392,0.3073,0.3915,0.5926
flow,16,16,150,0.0179,550,12000,0.9885,mlp,mlp,0.8328,0.8440,0.8394,0.5232,0.2207,0.3104,0.5772
flow,32,2,150,0.0153,550,1500,0.9960,analytic,analytic,0.9611,0.9688,0.9652,0.8938,0.4673,0.6137,0.7913
flow,32,2,150,0.0153,550,1500,0.9960,knn,knn,0.7094,0.7204,0.7118,0.0000,0.0000,0.0000,0.3602
flow,32,2,150,0.0153,550,1500,0.9960,altered_knn,altered_knn,0.7745,0.7835,0.8312,0.0230,0.1928,0.0410,0.4123
