sampler,d,K,n_seeds,hall_gt,hall_gt_std,model,arch,n_per_mode,n_anchors,full_acc,full_acc_std,mode_acc,mode_acc_std,mode_f1,mode_f1_std,hall_prec,hall_prec_std,hall_rec,hall_rec_std,hall_f1,hall_f1_std,balanced,balanced_std
ddim,4,8,3,0.0118,0.0002,altered_knn,altered_knn,10000,80000,0.8482,0.0382,0.8550,0.0402,0.8877,0.0165,0.0457,0.0135,0.2737,0.1335,0.0703,0.0073,0.4627,0.0236
ddim,4,8,3,0.0118,0.0002,quadratic,quadratic,10000,120000,0.8945,0.0158,0.8995,0.0158,0.9041,0.0150,0.2526,0.0263,0.4724,0.0128,0.3287,0.0257,0.6141,0.0207
ddim,4,8,3,0.0118,0.0002,polar3,polar,10000,120000,0.9505,0.0115,0.9553,0.0113,0.9603,0.0108,0.2927,0.0241,0.5499,0.0248,0.3819,0.0266,0.6686,0.0190
ddim,4,8,3,0.0118,0.0002,knn,knn,15000,180000,0.8677,0.0133,0.8730,0.0131,0.8809,0.0125,0.1670,0.0140,0.4194,0.0185,0.2388,0.0173,0.5559,0.0152
ddim,4,8,3,0.0118,0.0002,altered_knn,altered_knn,15000,120000,0.8768,0.0283,0.8855,0.0297,0.8983,0.0128,0.0575,0.0150,0.1490,0.0977,0.0706,0.0042,0.4780,0.0170
ddim,4,8,3,0.0118,0.0002,quadratic,quadratic,15000,180000,0.8943,0.0160,0.8994,0.0159,0.9039,0.0152,0.2531,0.0260,0.4716,0.0132,0.3290,0.0254,0.6142,0.0207
ddim,4,8,3,0.0118,0.0002,polar3,polar,15000,180000,0.9502,0.0116,0.9549,0.0114,0.9601,0.0109,0.2899,0.0232,0.5488,0.0277,0.3793,0.0264,0.6671,0.0189
ddim,4,8,3,0.0118,0.0002,knn,knn,20000,240000,0.8772,0.0127,0.8826,0.0125,0.8899,0.0120,0.1782,0.0156,0.4255,0.0242,0.2512,0.0196,0.5669,0.0160
ddim,4,8,3,0.0118,0.0002,altered_knn,altered_knn,20000,160000,0.8735,0.0378,0.8817,0.0398,0.8998,0.0152,0.0589,0.0165,0.1837,0.1449,0.0720,0.0054,0.4768,0.0224
ddim,4,8,3,0.0118,0.0002,quadratic,quadratic,20000,240000,0.8960,0.0163,0.9011,0.0163,0.9052,0.0156,0.2631,0.0251,0.4676,0.0150,0.3363,0.0246,0.6187,0.0204
ddim,4,8,3,0.0118,0.0002,polar3,polar,20000,240000,0.9506,0.0117,0.9554,0.0114,0.9605,0.0110,0.2915,0.0225,0.5474,0.0291,0.3803,0.0262,0.6679,0.0188
ddim,4,16,3,0.0133,0.0004,knn,knn,2000,48000,0.7720,0.0048,0.7769,0.0049,0.7938,0.0056,0.0975,0.0036,0.4063,0.0011,0.1573,0.0048,0.4671,0.0020
ddim,4,16,3,0.0133,0.0004,altered_knn,altered_knn,2000,32000,0.7906,0.0838,0.7968,0.0888,0.8408,0.0344,0.0530,0.0157,0.3233,0.2944,0.0704,0.0118,0.4336,0.0477
ddim,4,16,3,0.0133,0.0004,quadratic,quadratic,2000,48000,0.8878,0.0064,0.8936,0.0065,0.9042,0.0067,0.1639,0.0056,0.4511,0.0134,0.2402,0.0041,0.5669,0.0040
ddim,4,16,3,0.0133,0.0004,polar3,polar,2000,48000,0.9408,0.0024,0.9468,0.0027,0.9543,0.0025,0.2301,0.0060,0.4981,0.0043,0.3147,0.0049,0.6308,0.0038
ddim,4,16,3,0.0133,0.0004,knn,knn,5000,120000,0.8164,0.0050,0.8216,0.0050,0.8351,0.0055,0.1247,0.0043,0.4240,0.0037,0.1927,0.0047,0.5072,0.0025
ddim,4,16,3,0.0133,0.0004,altered_knn,altered_knn,5000,80000,0.8550,0.0079,0.8637,0.0089,0.8788,0.0027,0.0615,0.0063,0.2136,0.0493,0.0938,0.0041,0.4787,0.0064
ddim,4,16,3,0.0133,0.0004,quadratic,quadratic,5000,120000,0.8885,0.0074,0.8944,0.0075,0.9048,0.0074,0.1663,0.0081,0.4514,0.0132,0.2427,0.0073,0.5686,0.0064
ddim,4,16,3,0.0133,0.0004,polar3,polar,5000,120000,0.9415,0.0023,0.9475,0.0026,0.9547,0.0023,0.2321,0.0070,0.4953,0.0048,0.3160,0.0056,0.6317,0.0040
ddim,4,16,3,0.0133,0.0004,knn,knn,10000,240000,0.8465,0.0043,0.8521,0.0044,0.8633,0.0046,0.1472,0.0048,0.4301,0.0036,0.2193,0.0051,0.5357,0.0021
ddim,4,16,3,0.0133,0.0004,altered_knn,altered_knn,10000,160000,0.8519,0.0387,0.8599,0.0416,0.8835,0.0114,0.0677,0.0175,0.2463,0.1946,0.0875,0.0114,0.4737,0.0241
ddim,4,16,3,0.0133,0.0004,quadratic,quadratic,10000,240000,0.8923,0.0068,0.8983,0.0070,0.9082,0.0068,0.1715,0.0091,0.4497,0.0130,0.2480,0.0079,0.5731,0.0064
ddim,4,16,3,0.0133,0.0004,polar3,polar,10000,240000,0.9424,0.0023,0.9484,0.0026,0.9555,0.0023,0.2348,0.0068,0.4940,0.0050,0.3182,0.0053,0.6333,0.0039
ddim,4,16,3,0.0133,0.0004,knn,knn,15000,360000,0.8617,0.0041,0.8675,0.0041,0.8775,0.0041,0.1605,0.0047,0.4338,0.0027,0.2343,0.0047,0.5509,0.0028
ddim,4,16,3,0.0133,0.0004,altered_knn,altered_knn,15000,240000,0.8744,0.0152,0.8838,0.0171,0.8948,0.0037,0.0776,0.0198,0.1805,0.1052,0.0927,0.0082,0.4882,0.0096
ddim,4,16,3,0.0133,0.0004,quadratic,quadratic,15000,360000,0.8951,0.0055,0.9010,0.0056,0.9129,0.0055,0.1559,0.0074,0.4575,0.0068,0.2324,0.0075,0.5667,0.0056
ddim,4,16,3,0.0133,0.0004,polar3,polar,15000,360000,0.9440,0.0031,0.9500,0.0034,0.9569,0.0029,0.2411,0.0105,0.4967,0.0033,0.3244,0.0089,0.6372,0.0062
ddim,4,16,3,0.0133,0.0004,knn,knn,20000,480000,0.8719,0.0038,0.8778,0.0038,0.8869,0.0039,0.1726,0.0057,0.4364,0.0043,0.2473,0.0054,0.5626,0.0029
ddim,4,16,3,0.0133,0.0004,altered_knn,altered_knn,20000,320000,0.8889,0.0053,0.8995,0.0059,0.9002,0.0026,0.0948,0.0128,0.0999,0.0394,0.0903,0.0156,0.4949,0.0049
ddim,4,16,3,0.0133,0.0004,quadratic,quadratic,20000,480000,0.8919,0.0053,0.8977,0.0055,0.9131,0.0055,0.1314,0.0042,0.4625,0.0048,0.2046,0.0047,0.5512,0.0044
ddim,4,16,3,0.0133,0.0004,polar3,polar,20000,480000,0.9452,0.0032,0.9512,0.0035,0.9578,0.0031,0.2451,0.0114,0.4951,0.0009,0.3277,0.0101,0.6395,0.0068
ddim,8,2,3,0.0108,0.0002,knn,knn,2000,6000,0.8182,0.0016,0.8265,0.0017,0.8220,0.0018,0.5794,0.0521,0.0640,0.0071,0.1152,0.0125,0.4708,0.0062
ddim,8,2,3,0.0108,0.0002,altered_knn,altered_knn,2000,4000,0.8704,0.0045,0.8774,0.0044,0.9130,0.0027,0.0278,0.0021,0.2252,0.0087,0.0495,0.0036,0.4635,0.0039
ddim,8,2,3,0.0108,0.0002,quadratic,quadratic,2000,6000,0.9859,0.0017,0.9914,0.0018,0.9889,0.0017,0.8975,0.0289,0.4890,0.0040,0.6330,0.0090,0.8122,0.0052
ddim,8,2,3,0.0108,0.0002,polar3,polar,2000,6000,0.9925,0.0010,0.9949,0.0008,0.9945,0.0008,0.8368,0.0238,0.7773,0.0222,0.8058,0.0187,0.9003,0.0097
ddim,8,2,3,0.0108,0.0002,knn,knn,5000,15000,0.8345,0.0023,0.8429,0.0024,0.8385,0.0024,0.6884,0.0516,0.0704,0.0069,0.1277,0.0119,0.4853,0.0057
ddim,8,2,3,0.0108,0.0002,altered_knn,altered_knn,5000,10000,0.8507,0.0408,0.8570,0.0422,0.9052,0.0186,0.0268,0.0025,0.2765,0.0968,0.0481,0.0029,0.4525,0.0226
ddim,8,2,3,0.0108,0.0002,quadratic,quadratic,5000,15000,0.9880,0.0006,0.9935,0.0007,0.9909,0.0006,0.9148,0.0244,0.4839,0.0037,0.6328,0.0038,0.8131,0.0023
ddim,8,2,3,0.0108,0.0002,polar3,polar,5000,15000,0.9932,0.0006,0.9956,0.0004,0.9950,0.0004,0.8670,0.0132,0.7773,0.0231,0.8196,0.0167,0.9076,0.0085
