sampler,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,4,8,0.0265,altered_knn,altered_knn,100000,800000,0.8740,0.8937,0.8943,0.1042,0.1488,0.1226,0.5082
ddim,4,8,0.0265,polar3,polar,100000,1200000,0.9092,0.9235,0.9233,0.3322,0.3842,0.3563,0.6399
ddim,4,16,0.0315,knn,knn,2000,48000,0.7426,0.7574,0.7676,0.1535,0.2900,0.2008,0.4791
ddim,4,16,0.0315,altered_knn,altered_knn,2000,32000,0.8225,0.8471,0.8404,0.1215,0.0681,0.0873,0.4672
ddim,4,16,0.0315,polar3,polar,2000,48000,0.8931,0.9135,0.9122,0.2896,0.2694,0.2791,0.5963
ddim,4,16,0.0315,knn,knn,5000,120000,0.7834,0.7994,0.8050,0.1927,0.2916,0.2320,0.5157
ddim,4,16,0.0315,altered_knn,altered_knn,5000,80000,0.8318,0.8532,0.8565,0.1377,0.1743,0.1538,0.5035
ddim,4,16,0.0315,polar3,polar,5000,120000,0.8933,0.9133,0.9122,0.2958,0.2789,0.2871,0.6002
ddim,4,16,0.0315,knn,knn,10000,240000,0.8114,0.8292,0.8323,0.2034,0.2647,0.2300,0.5296
ddim,4,16,0.0315,altered_knn,altered_knn,10000,160000,0.8427,0.8681,0.8590,0.1673,0.0650,0.0936,0.4808
ddim,4,16,0.0315,polar3,polar,10000,240000,0.8931,0.9133,0.9120,0.2932,0.2742,0.2834,0.5983
ddim,4,16,0.0315,knn,knn,20000,480000,0.8339,0.8524,0.8537,0.2309,0.2678,0.2480,0.5502
ddim,4,16,0.0315,altered_knn,altered_knn,20000,320000,0.8522,0.8795,0.8661,0.1406,0.0143,0.0259,0.4527
ddim,4,16,0.0315,polar3,polar,20000,480000,0.8955,0.9163,0.9139,0.3020,0.2599,0.2794,0.5978
ddim,4,16,0.0315,knn,knn,50000,1200000,0.8634,0.8832,0.8815,0.2739,0.2583,0.2659,0.5745
ddim,4,16,0.0315,altered_knn,altered_knn,50000,800000,0.8595,0.8836,0.8809,0.1442,0.1204,0.1313,0.5074
ddim,4,16,0.0315,polar3,polar,50000,1200000,0.8988,0.9194,0.9175,0.3040,0.2678,0.2848,0.6021
ddim,4,16,0.0315,knn,knn,100000,2400000,0.8718,0.8932,0.8895,0.2718,0.2171,0.2414,0.5673
ddim,4,16,0.0315,altered_knn,altered_knn,100000,1600000,0.8729,0.9001,0.8889,0.1437,0.0396,0.0621,0.4811
ddim,4,16,0.0315,polar3,polar,100000,2400000,0.8984,0.9188,0.9171,0.3030,0.2694,0.2852,0.6020
ddim,4,32,0.0309,knn,knn,2000,96000,0.7264,0.7400,0.7540,0.1344,0.3037,0.1863,0.4631
ddim,4,32,0.0309,altered_knn,altered_knn,2000,64000,0.8081,0.8300,0.8273,0.1473,0.1212,0.1330,0.4815
ddim,4,32,0.0309,polar3,polar,2000,96000,0.8779,0.8958,0.8982,0.2677,0.3183,0.2908,0.5933
ddim,4,32,0.0309,knn,knn,5000,240000,0.7721,0.7872,0.7954,0.1697,0.3021,0.2173,0.5022
ddim,4,32,0.0309,altered_knn,altered_knn,5000,160000,0.8303,0.8563,0.8440,0.1667,0.0194,0.0347,0.4455
ddim,4,32,0.0309,polar3,polar,5000,240000,0.8788,0.8969,0.8989,0.2706,0.3134,0.2904,0.5937
ddim,4,32,0.0309,knn,knn,10000,480000,0.8023,0.8190,0.8241,0.1893,0.2811,0.2263,0.5226
ddim,4,32,0.0309,altered_knn,altered_knn,10000,320000,0.8299,0.8520,0.8522,0.1325,0.1389,0.1356,0.4938
ddim,4,32,0.0309,polar3,polar,10000,480000,0.8827,0.9013,0.9022,0.2791,0.3021,0.2901,0.5957
ddim,4,32,0.0309,knn,knn,20000,960000,0.8260,0.8436,0.8466,0.2170,0.2763,0.2431,0.5433
ddim,4,32,0.0309,altered_knn,altered_knn,20000,640000,0.8456,0.8710,0.8616,0.1546,0.0517,0.0775,0.4742
ddim,4,32,0.0309,polar3,polar,20000,960000,0.8837,0.9032,0.9028,0.2714,0.2714,0.2714,0.5873
ddim,4,32,0.0309,knn,knn,50000,2400000,0.8494,0.8688,0.8688,0.2297,0.2423,0.2358,0.5523
ddim,4,32,0.0309,altered_knn,altered_knn,50000,1600000,0.8552,0.8800,0.8721,0.1644,0.0792,0.1069,0.4934
