T,model,n_cells,mean_full_acc,mean_mode_acc,mean_mode_f1,mean_hall_prec,mean_hall_rec,mean_hall_f1,mean_balanced
950,knn,20,0.6498,0.6606,0.6624,0.1662,0.1455,0.1046,0.3826
950,linear,20,0.3139,0.3056,0.4058,0.0207,0.6342,0.0400,0.1728
950,mlp,20,0.9030,0.9186,0.9125,0.5934,0.2065,0.2771,0.5979
950,polar2,20,0.8977,0.9116,0.9097,0.4299,0.2739,0.3051,0.6084
950,polar3,20,0.8989,0.9130,0.9089,0.5798,0.2697,0.3340,0.6235
950,polar8,20,0.8807,0.8949,0.8905,0.5239,0.2374,0.2921,0.5935
950,quadratic,20,0.8718,0.8857,0.8876,0.5021,0.2492,0.2678,0.5768
1000,altered_knn,20,0.7830,0.7958,0.8175,0.0757,0.1973,0.0849,0.4403
1000,analytic,20,0.9284,0.9422,0.9363,0.6939,0.3206,0.4314,0.6868
1000,kernel,20,0.4180,0.4112,0.4137,0.1180,0.5933,0.0807,0.2459
1000,knn,20,0.6498,0.6605,0.6624,0.1662,0.1453,0.1045,0.3825
1000,linear,20,0.3137,0.3054,0.4056,0.0207,0.6342,0.0400,0.1727
1000,mlp,20,0.9029,0.9185,0.9124,0.5879,0.2042,0.2752,0.5969
1000,polar2,20,0.8977,0.9116,0.9097,0.4302,0.2731,0.3045,0.6081
1000,polar3,20,0.8989,0.9130,0.9089,0.5806,0.2692,0.3337,0.6233
1000,polar8,20,0.8806,0.8948,0.8903,0.5267,0.2361,0.2915,0.5932
1000,quadratic,20,0.8717,0.8857,0.8876,0.5025,0.2488,0.2677,0.5767
