sampler,seed,d,K,hall_gt,model,arch,n_per_mode,n_anchors,full_acc,mode_acc,mode_f1,hall_prec,hall_rec,hall_f1,balanced
ddim,100,2,4,0.0104,quadratic,quadratic,100000,600000,0.9104,0.9159,0.9310,0.0864,0.3860,0.1412,0.5285
ddim,100,2,4,0.0104,quadratic_cal,quadratic,100000,600000,0.9281,0.9351,0.9351,0.2364,0.2569,0.2462,0.5907
ddim,100,2,4,0.0104,polar8,polar,100000,600000,0.9146,0.9208,0.9207,0.3097,0.3269,0.3181,0.6194
ddim,100,2,4,0.0104,polar8_cal,polar,100000,600000,0.9153,0.9215,0.9209,0.3489,0.3245,0.3362,0.6289
ddim,200,2,4,0.0111,knn,knn,20000,120000,0.8955,0.9018,0.9027,0.2453,0.3367,0.2838,0.5928
ddim,200,2,4,0.0111,altered_knn,altered_knn,20000,80000,0.8925,0.9024,0.9020,0.0079,0.0090,0.0084,0.4554
ddim,200,2,4,0.0111,quadratic,quadratic,20000,120000,0.8888,0.8944,0.8983,0.1821,0.3932,0.2489,0.5716
ddim,200,2,4,0.0111,quadratic_cal,quadratic,20000,120000,0.8982,0.9047,0.9023,0.3267,0.3175,0.3221,0.6134
ddim,200,2,4,0.0111,polar8,polar,20000,120000,0.8957,0.9019,0.9028,0.2504,0.3412,0.2889,0.5954
ddim,200,2,4,0.0111,polar8_cal,polar,20000,120000,0.8970,0.9033,0.9031,0.3005,0.3379,0.3181,0.6107
ddim,200,2,4,0.0111,knn,knn,50000,300000,0.8967,0.9029,0.9029,0.2913,0.3390,0.3133,0.6081
ddim,200,2,4,0.0111,altered_knn,altered_knn,50000,200000,0.8955,0.9055,0.9024,0.0102,0.0056,0.0073,0.4564
ddim,200,2,4,0.0111,quadratic,quadratic,50000,300000,0.8929,0.8985,0.9070,0.1278,0.3921,0.1928,0.5456
ddim,200,2,4,0.0111,quadratic_cal,quadratic,50000,300000,0.9041,0.9106,0.9089,0.3404,0.3254,0.3328,0.6217
ddim,200,2,4,0.0111,polar8,polar,50000,300000,0.8957,0.9019,0.9027,0.2529,0.3412,0.2905,0.5962
ddim,200,2,4,0.0111,polar8_cal,polar,50000,300000,0.8969,0.9032,0.9030,0.2989,0.3401,0.3182,0.6107
ddim,200,2,4,0.0111,knn,knn,100000,600000,0.8970,0.9033,0.9029,0.3119,0.3390,0.3249,0.6141
ddim,200,2,4,0.0111,altered_knn,altered_knn,100000,400000,0.8959,0.9058,0.9025,0.0113,0.0056,0.0075,0.4567
ddim,200,2,4,0.0111,quadratic,quadratic,100000,600000,0.8928,0.8981,0.9132,0.0940,0.4147,0.1533,0.5257
